subject,course_title,abs_course_url
Mathematics,Intro to Descriptive Statistics,https://www.classcentral.com/course/udacity-intro-to-descriptive-statistics-2309
Mathematics,Basic Statistics,https://www.classcentral.com/course/coursera-basic-statistics-4312
Mathematics,Introduction to Renormalization,https://www.classcentral.com/course/complexity-explorer-introduction-to-renormalization-11490
Mathematics,Linear Algebra - Foundations to Frontiers,https://www.classcentral.com/course/edx-linear-algebra-foundations-to-frontiers-1337
Mathematics,"Precalculus: the Mathematics of Numbers, Functions and Equations",https://www.classcentral.com/course/futurelearn-precalculus-the-mathematics-of-numbers-functions-and-equations-8988
Mathematics,Intro Algebra Review,https://www.classcentral.com/course/udacity-intro-algebra-review-2666
Mathematics,Intro to Inferential Statistics,https://www.classcentral.com/course/udacity-intro-to-inferential-statistics-2310
Mathematics,Maximum Entropy Methods,https://www.classcentral.com/course/complexity-explorer-maximum-entropy-methods-11479
Mathematics,Introduction to Differential Equations,https://www.classcentral.com/course/complexity-explorer-introduction-to-differential-equations-11477
Mathematics,Introduction to Linear Models and Matrix Algebra,https://www.classcentral.com/course/edx-introduction-to-linear-models-and-matrix-algebra-2963
Mathematics,Aléatoire : une introduction aux probabilités - Partie 1,https://www.classcentral.com/course/coursera-aleatoire-une-introduction-aux-probabilites-partie-1-852
Mathematics,Analytic Combinatorics,https://www.classcentral.com/course/coursera-analytic-combinatorics-922
Mathematics,Çok değişkenli Fonksiyon II: Uygulamalar / Multivariable Calculus II: Applications,https://www.classcentral.com/course/coursera-cok-degiskenli-fonksiyon-ii-uygulamalar-multivariable-calculus-ii-applications-4165
Mathematics,"Doğrusal Cebir II: Kare Matrisler, Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices, Calculation Methods and Applications",https://www.classcentral.com/course/coursera-dogrusal-cebir-ii-kare-matrisler-hesaplama-yontemleri-ve-uygulamalar-linear-algebra-ii-square-matrices-calculation-methods-and-applications-5046
Mathematics,Business Applications of Hypothesis Testing and Confidence Interval Estimation ,https://www.classcentral.com/course/coursera-business-applications-of-hypothesis-testing-and-confidence-interval-estimation-7035
Mathematics,Linear Regression for Business Statistics,https://www.classcentral.com/course/coursera-linear-regression-for-business-statistics-7041
Mathematics,Mathematical Thinking in Computer Science,https://www.classcentral.com/course/coursera-mathematical-thinking-in-computer-science-9212
Mathematics,Mathematics for Machine Learning: Linear Algebra,https://www.classcentral.com/course/coursera-mathematics-for-machine-learning-linear-algebra-10453
Mathematics,Introduction to Calculus,https://www.classcentral.com/course/coursera-introduction-to-calculus-12547
Mathematics,Logistic Regression in R for Public Health,https://www.classcentral.com/course/coursera-logistic-regression-in-r-for-public-health-13075
Mathematics,Linear Regression in R for Public Health ,https://www.classcentral.com/course/coursera-linear-regression-in-r-for-public-health-13077
Mathematics,Çok değişkenli Fonksiyon I: Kavramlar / Multivariable Calculus I:  Concepts,https://www.classcentral.com/course/coursera-cok-degiskenli-fonksiyon-i-kavramlar-multivariable-calculus-i-concepts-1412
Mathematics,Combinatorics and Probability,https://www.classcentral.com/course/coursera-combinatorics-and-probability-2464
Mathematics,Aléatoire : une introduction aux probabilités - Partie 2,https://www.classcentral.com/course/coursera-aleatoire-une-introduction-aux-probabilites-partie-2-5716
Mathematics,Applied Logistic Regression,https://www.classcentral.com/course/canvas-network-applied-logistic-regression-6579
Mathematics,Improving your statistical inferences,https://www.classcentral.com/course/coursera-improving-your-statistical-inferences-7353
Mathematics,Introduction to Graph Theory,https://www.classcentral.com/course/coursera-introduction-to-graph-theory-9213
Mathematics,Why Numbers Matter: Quantitative Research,https://www.classcentral.com/course/futurelearn-why-numbers-matter-quantitative-research-10578
Mathematics,Probability and Statistics: To p or not to p?,https://www.classcentral.com/course/coursera-probability-and-statistics-to-p-or-not-to-p-11755
Mathematics,Summary Statistics in Public Health ,https://www.classcentral.com/course/coursera-summary-statistics-in-public-health-12762
Mathematics,Survival Analysis in R for Public Health,https://www.classcentral.com/course/coursera-survival-analysis-in-r-for-public-health-13076
Mathematics,Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and Operators,https://www.classcentral.com/course/coursera-dogrusal-cebir-i-uzaylar-ve-islemciler-linear-algebra-i-spaces-and-operators-5045
Mathematics,Математика для всех,https://www.classcentral.com/course/coursera----8405
Health & Medicine,Understanding Dementia,https://www.classcentral.com/course/independent-understanding-dementia-981
Social Sciences,Model Thinking,https://www.classcentral.com/course/coursera-model-thinking-317
Health & Medicine,Preventing Dementia,https://www.classcentral.com/course/independent-preventing-dementia-6565
Health & Medicine,Understanding Clinical Research: Behind the Statistics,https://www.classcentral.com/course/coursera-understanding-clinical-research-behind-the-statistics-5037
Health & Medicine,Vital Signs: Understanding What the Body Is Telling Us,https://www.classcentral.com/course/coursera-vital-signs-understanding-what-the-body-is-telling-us-1887
Health & Medicine,Stanford Introduction to Food and Health,https://www.classcentral.com/course/coursera-stanford-introduction-to-food-and-health-5057
Health & Medicine,Discover Dentistry,https://www.classcentral.com/course/futurelearn-discover-dentistry-1249
Health & Medicine,Child Nutrition and Cooking,https://www.classcentral.com/course/coursera-child-nutrition-and-cooking-816
Health & Medicine,The Addicted Brain,https://www.classcentral.com/course/coursera-the-addicted-brain-1403
Health & Medicine,"Viruses & How to Beat Them: Cells, Immunity, Vaccines",https://www.classcentral.com/course/edx-viruses-how-to-beat-them-cells-immunity-vaccines-9364
Health & Medicine,Positive Psychiatry and Mental Health ,https://www.classcentral.com/course/coursera-positive-psychiatry-and-mental-health-8783
Health & Medicine,Young People and Their Mental Health,https://www.classcentral.com/course/futurelearn-young-people-and-their-mental-health-9491
Health & Medicine,Epidemiology: The Basic Science of Public Health,https://www.classcentral.com/course/coursera-epidemiology-the-basic-science-of-public-health-733
Health & Medicine,Introduction to Clinical Neurology,https://www.classcentral.com/course/coursera-introduction-to-clinical-neurology-1538
Health & Medicine,Epidemics - the Dynamics of Infectious Diseases,https://www.classcentral.com/course/coursera-epidemics-the-dynamics-of-infectious-diseases-678
Health & Medicine,"Sit Less, Get Active",https://www.classcentral.com/course/coursera-sit-less-get-active-5260
Health & Medicine,Nutrition and Health: Macronutrients and Overnutrition,https://www.classcentral.com/course/edx-nutrition-and-health-macronutrients-and-overnutrition-2154
Health & Medicine,Becoming a Resilient Person - The Science of Stress Management,https://www.classcentral.com/course/edx-becoming-a-resilient-person-the-science-of-stress-management-1927
Health & Medicine,Clinical Terminology for International and U.S. Students,https://www.classcentral.com/course/coursera-clinical-terminology-for-international-and-u-s-students-839
Health & Medicine,FlashDiet: Aprende a comer sano,https://www.classcentral.com/course/edx-flashdiet-aprende-a-comer-sano-8631
Health & Medicine,Wellness Coaching: Powerful Skills for Everyday People,https://www.classcentral.com/course/canvas-network-wellness-coaching-powerful-skills-for-everyday-people-5170
Health & Medicine,食品安全與風險分析（Food Safety＆Risk Analysis）,https://www.classcentral.com/course/coursera--food-safety-risk-analysis-8863
Health & Medicine,Science of Exercise,https://www.classcentral.com/course/coursera-science-of-exercise-8679
Health & Medicine,Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I),https://www.classcentral.com/course/coursera-patient-safety-and-quality-improvement-developing-a-systems-view-patient-safety-i-9582
Health & Medicine,Communicating During Global Emergencies,https://www.classcentral.com/course/coursera-communicating-during-global-emergencies-11312
Social Sciences,Social Psychology,https://www.classcentral.com/course/coursera-social-psychology-555
Social Sciences,EU policy and implementation: making Europe work! ,https://www.classcentral.com/course/coursera-eu-policy-and-implementation-making-europe-work-7408
Social Sciences,HOPE: Human Odyssey to Political Existentialism,https://www.classcentral.com/course/edx-hope-human-odyssey-to-political-existentialism-11584
Social Sciences,Gender and Sexuality: Applications in Society,https://www.classcentral.com/course/edx-gender-and-sexuality-applications-in-society-12333
Social Sciences,Game Theory,https://www.classcentral.com/course/coursera-game-theory-308
